Designação,Nome,Logradouro,Bairro,Número,Complemento,CEP,IDEB 1º Segmento,IDEB 2º Segmento,Latitude,Longitude,Ginásio Carioca,Acessibilidade,Séries Atendidas,Turnos Atendidos,Ginásio Olímpico,Diretor,Telefone,INEP,Coordenador Pedagógico
0102002,TIRADENTES,Rua Visconde Do Rio Branco,Centro,48,,20060-080,6,,"-22.9074365580367","-43.1849266008343",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Aceleração 1/Realfabetização 1,,N,LUCIA FATIMA PINTO AMARAL,2224-7521,33062803,
0102004,RIVADAVIA CORREA,Av. Pres. Vargas,Centro,1314,,20210-031,,6.1,"-22.9032845187161","-43.187678140143",S,N,7º Ano/8º Ano/9º Ano/Classe Especial,,N,,2263-8214/2253-8064,33062790,
0102005,CALOUSTE GULBENKIAN,Rua Prof. Clementino Fraga,Cidade Nova,S/Nº,,20230-250,4.5,4.4,"-22.9089013715803","-43.1958005918403",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Realfabetização 1/Realfabetização 2,,N,KARLA SOARES AUGUSTO DE MENDONCA,2224-4054,33062765,SELMA LUCIA AZEVEDO RUSSO
0102006,GUATEMALA,Pça. Pres. Aguirre  Cerda,Bairro de  Fátima,55,,20240-200,6.1,,"-22.9176919753955","-43.1879935341589",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola/Realfabetização 1,,N,MARIA DE FATIMA SENNA FERRO COSTA,2224-7687,33063141,ROSE FIGUEIREDO PONCE LEON
0102007,ORLANDO VILLAS BOAS,Rua Andre Cavalcanti,Cidade Nova,103-109,,20231-050,6.1,5.2,"-22.9162231592421","-43.1856179424146",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2,,N,DENISE MARTINS MONASSA DIAS,2224-7622,33154597,ANA CRISTINA DE OLIVEIRA STELLITANO PEREIRA
0102063,DOUTOR PAULO NIEMEYER,,,,,,,,"","",,,,,N,,,,
0102201,CEM AV. DOS DESFILES,,,,,,,,"","",,,,,N,,,,
0102205,CEM AV. DOS DESFILES - C. DE ARTE,,,,,,,,"","",,,,,N,,,,
0102501,TIA CIATA,Av. Pres. Vargas,Praça Onze,S/Nº,,20071-003,4.8,,"-22.9066378278522","-43.1946952667565",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Classe Especial,,N,KATIA REGINA DE OLIVEIRA DUTRA,2224-7649,33062757,RENATA TORRES DE SOUZA
0102502,AVENIDA DOS DESFILES I,Av. Salvador De Sá,Cidade Nova,S/N.°,,20211-070,,,"-22.9117079423952","-43.1958194688549",N,N,Pré-Escola,,N,GREYCE KELLY FERNANDES DE ALMEIDA OLIVEIRA,2293-9596/2293-0004,33062552,ANGELA DOS SANTOS ARAUJO
0102503,AVENIDA DOS DESFILES II,Av. Salvador de Sá,Cidade Nova,S/N.º,,20211-070,,,"-22.9107274479743","-43.1961348484488",N,N,Pré-Escola,,N,MARIA ANGELICA BENTO GUSMAO,2293-9546/2213-5833,33062544,SANDRA DE CASSIA MAIA SCARPELLI
0102504,CEM AV. DOS DESFILES - 5ª/8ª,Av. Salvador de Sá,Cidade Nova,s/n.º,Setores 5 e 7,20211-260,,,"-22.9092059611947","-43.1965528603487",N,N,PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,ALESSANDRA ARANHA TEIXEIRA,2213-5912/2293-0077,33062714,ADRIANA DA SILVA SOARES BASTOS
0102505,JOSE PEDRO VARELA,Rua do Lavradio,Centro,133,,20230-070,,,"-22.9106954610964","-43.1817374817261",N,S,1º Ano/2º Ano/3º Ano/Creche/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,,N,ELIZABETH TEIXEIRA FERREIRA,2262-1075,33062587,POLIANA ROCHA EVANGELISTA
0102601,SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,Rua Laurindo Rabelo,Estácio,537,São Carlos,20250-150,,,"-22.9184920603856","-43.2025857779837",N,N,Creche,Integral,N,CHRISTINA SANTOS TEIXEIRA DA SILVA,2293-3201,33127832,
0102602,ANA MARIA DA CRUZ SILVA,Rua Salvador de Sá,Cidade Nova,S/N°,Setor  4,20211-260,,,"-22.9118094471538","-43.1964049630428",N,N,Creche,Integral,N,SYLVIA REGINA MOLINARO RODRIGUES GOMES,2213-5932,33127908,
0102604,ARCO IRIS,Rua Do Lavradio,Centro,33,,20230-070,,,"-22.9103086916971","-43.1813328783539",N,N,Creche,Integral,N,BARBARA DAMASCENO DO NASCIMENTO SANTIAGO,2215-3595/2224-7509,33154562,
0102605,ALDEIA DOS CURUMINS,Rua Amaro Cavalcanti,Centro,103/109,,20231-050,,,"-22.9161835222413","-43.1854298401433",N,N,Creche,Integral,N,MARCIA GOMES SANTOS MAZONE,2224-7032/2224-7476,33154570,
0102606,GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,Rua Gustavo Barroso,Centro,s/nº,,20230-220,,,"-22.9064124684764","-43.1932648467771",N,N,Creche,Integral,N,MAURO GARRITANO DE CARVALHO,2224-7637,33154589,
0102802,CAMPOS SALLES,Pça. Da República,Centro,s/nº,,20211-350,,,"-22.9035393","-43.2095869",N,N,Creche/Pré-Escola,,N,ADRIANA LEMOS PEREIRA,2224-7576/2224-7466,33062781,MAURICELIA BEZERRA CABRAL
0102803,RACHEL DE QUEIROZ,Av.Presidente Vargas,Praça Onze,S/N°,,20210-030,,,"-22.9069041","-43.1947339",N,S,Creche/Pré-Escola,,N,MARIA DA GRACA FERREIRA VAZ,2224-7450,33149259,CARLA VASCONCELOS BRONZEADO
0103001,ESTADOS UNIDOS,Rua Itapiru,Catumbi,453,,20251-031,3.9,3.9,"-22.9211935383089","-43.1956669063003",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Classe Especial/Pré-Escola/Realfabetização 1/Realfabetização 2,,N,ALESSANDRA NUNES PEREIRA RIBEIRO,2213-5658/2293-0100/2213-5658,33063133,ALDA MARIA LIMA REIS
0103003,MEM DE SA,Rua Campos Da Paz,Rio Comprido,218,,20250-460,5.2,,"-22.9236162514252","-43.2040045134899",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,,N,IRACEMA DE JESUS MATHIAS PINTO,2293-4141,33063176,MOHAMA ALMEIDA BRAGA
0103004,PEREIRA PASSOS,Pça. Condessa Paulo de Frontin,Rio Comprido,45,,20261-190,4.2,4.2,"-22.9239267122474","-43.2082055104953",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,,N,SHEILA MARIA GUASTI RAMALHO,2273-5599,33063184,ELISABETE  SCALISE DI VAIO
0103005,MARIO CLAUDIO,Rua Haddock Lobo,Rio Comprido,148,,20260-132,4.9,4.7,"-22.9167469304237","-43.2106706970244",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Classe Especial/PROJOVEM/Pré-Escola/Realfabetização 1/Realfabetização 2,,N,LUCIA TERESINHA DE SOUZA OLIVEIRA,2293-2996,33063168,MARIA DO CARMO BAHIA PRADERA FILHA
0103006,JENNY GOMES,Av. Paulo De Frontin,Rio Comprido,452,,20261-242,5.1,4.4,"-22.9225513645341","-43.2098530619502",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/PROJOVEM/Realfabetização 1,,N,SONIA MARIA CORREA DOS REIS,2273-5299,33063150,MARCIA REGINA DA SILVA OLIVEIRA
0103501,C.C. DO CATUMBI,Rua Dom Pedro Mascarenhas,Catumbi,23,,20251-970,,,"-22.9154418427914","-43.194340491527",N,N,1º Ano/2º Ano/3º Ano,,N,RENATA SEABRA GARRAO,2213-5611/2293-0367,33063125,GISELE REIGOTO FERNANDES
0103502,CANADA,Rua São Carlos,Estácio,181,,20250-050,4.8,,"-22.9149926421509","-43.2039415514451",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,,N,MARIA CECILIA LAPOENTE DE CASTRO BARRETO,2273-1599/2293-0441,33063109,URSULA HID DA SILVA OLIVEIRA
0103601,ESPAÇO LIVRE DA CRIANÇA,Rua Laurindo Rabelo,Estácio,184,São Carlos,20250-150,,,"-22.9156311563595","-43.202980350768",N,N,Creche,Integral,N,ANDREA SALVADOR FERREIRA MORAES,3971-3893/2293-0441,33096490,
0103602,DIREITOS HUMANOS,Rua Barão De Petrópolis Morro do Escondidinho,Rio Comprido,724,,20251-060,,,"-22.9308512832037","-43.2008593497981",N,N,Creche,Integral,N,MARLI VIEIRA CHAVES,2273-6570/2293-0100,33122440,
0103603,SANTA TERESA,,,,,,,,"","",,,,,N,,,,
0103604,SONHO INFANTIL,Rua Infante de Sagres,Rio Comprido - Turano,275,fundos,20261-160,,,"-22.9266696866283","-43.2140083291214",N,N,Creche,Integral,N,CLAUDIA GOMES DA CONCEICAO,2273-4219,33147370,
0103605,BRINCADEIRAS DE CRIANÇA,Rua Sebastião Rocha,Rio Comprido,s/n.º,,,,,"-22.9184431929778","-43.1976370641059",N,N,Creche,Integral,N,EVELIN DUARTE BACCI DE ASSIS,3971-4919/2239-0367,33238200,
0103606,CAMPOS DA PAZ,Rua Azevedo Lima,Rio Comprido,s/nº,,20250-500,,,"-22.9219752632449","-43.2036315850338",N,N,Creche,Integral,N,CONCEICAO DE MARIA DE OLIVEIRA DA COSTA,2213-5813/2293-0118,33462259,
0103607,ESTÁCIO DE SÁ,Rua Estácio de Sá,Estácio,51,,,,,"-22.9134882892084","-43.2035131769771",N,N,Creche,Integral,N,CONCEICAO CRISTINA SILVEIRA DE MAGALHAES LEAL,2518-0908/2293-0229,33462267,
0103801,PROFESSORA SIMONE SOUSA PIMENTEL,Rua Infante de Sagres,Rio Comprido,121,,20250-520,,,"-22.9271479616518","-43.2128786471977",N,N,Creche,Integral,N,DEBORA RAMOS NETO SANTANA,2225-3059,33160880,MILENE SALETE RIBEIRO NUNES
0103802,LILY MARINHO,Av. 31 de março,Catumbi,s/n,,20251-350,,,"-22.9185157350977","-43.1929941285362",N,S,Creche,Integral,N,NILCEA DE AZEVEDO SIQUEIRA,2273-8334,33164126,SANDRA REGINA MARTINS RABELO
0103804,ZÉLIA GATTAI AMADO,Travessa Marrocos - Comunidade Fogueteiro,Rio Comprido,s/nº,,20251-070,,,"-22.9263809162689","-43.2005606502707",N,N,Creche/Pré-Escola,Integral,N,ALZINEA SHEILA TEIXEIRA ALVES,2233-1322,33164134,ANA PAULA DA COSTA SILVA
0103805,BEATRIZ VICÊNCIA BANDEIRA RIFF,Rua Santos Rodrigues,Estácio,262,,20250-430,,,"-22.919180","-43.205011",N,N,Creche/PIC/Pré-Escola,Integral,N,JOSEANE DE ALMEIDA MOTTA  ABRAHÃO,2224-0979,,
0103806,FUNDAÇÃO LEÃO XIII,Rua Laurindo Rabelo,Estácio,554,,20250-150,,,"-22.917687","-43.203565",N,N,Pré-Escola,,N,MARCIA ASSIS DE OLIVEIRA,2273-8591/2293-0310,33063117,SABRINA GUEDES DE OLIVEIRA
0103807,MARIA LUIZA NOBRE - TIA LUIZINHA,Rua Itapiru,Catumbi,527,,,,,"-22.922011","-43.197133",N,N,Creche/Pré-Escola,Integral,N,FABIANA DE OLIVEIRA LEANDRO RAMOS,,,
0107001,GONCALVES DIAS,Campo de São Cristovão,São Cristóvão,115,,20921-440,3.8,3.8,"-22.8987277158743","-43.219860070421",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,FABIOLA DANIELE DA SILVA,3895-8630,33066264,
0107002,NILO PECANHA,Av. Pedro II,São Cristóvão,398,,20940-070,,4.9,"-22.9039219385331","-43.2192935784618",N,N,7º Ano/8º Ano/9º Ano,,N,MARIA HELENA DIAS AMOEDO,3895-8631/3895-8631,33066337,PATRICIA DA SILVA OLIVEIRA
0107003,PORTUGAL,Av. Do Exército,São Cristóvão,175,,20910-025,6.7,,"-22.9021070913703","-43.2247749353967",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,,N,CRISTHIANE PONTE DA SILVA,3895-8632/3895-8633,33066345,
0107004,FLORIANO PEIXOTO,Pça. Argentina,São Cristóvão,20,,20920-050,6.6,,"-22.897143259115","-43.2270827507921",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,,N,OTILIA MARIA MILLER DE SOUZA ARAUJO,3895-8634,33066256,SOLANGE SIMOES COMERLATO
0107005,JOAO DE CAMARGO,Rua Ricardo Machado,Vasco da Gama,633,,20921-270,6.5,,"-22.8897871213806","-43.2297167357242",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/Pré-Escola,,N,ELIENE BRAGA DE ARAUJO,3895-8637,33066299,ROSE MARY DO NASCIMENTO BRAZ
0107006,MARECHAL TROMPOWSKY,Av. Bartolomeu De Gusmão,São Cristóvão,1.100,Fundos,20941-160,4.7,,"-22.9074665273472","-43.2311092630709",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola/Realfabetização 1,,N,ADAIR DA SILVA MACHADO,2214-1638/2284-1830,33066310,ALINE GOMES DA SILVA
0107007,HUMBERTO DE CAMPOS,Trav. Saião Lobato,Mangueira,40,,20943-135,,,"-22.9038478798387","-43.238431331007",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,ZAILENE MELLO DOS SANTOS,2214-1664,33066280,RITA DE CASSIA ESCALERO DE MEDEIROS
0107008,JOSE MOREIRA DA SILVA,Rua Dos Eucaliptos,São Cristóvão,S/N.°,,20911-060,,,"-22.9029977315174","-43.2349295957036",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,LANA CRISTINA PASQUARELLI LINHARES FIGUEIREDO DE SOUSA,3895-8638/3895-8639,33066302,ANA CLAUDIA RODRIGUES DA CUNHA
0107009,URUGUAI,Rua Ana Néri,São Cristóvão,192,,20911-440,4.7,4.5,"-22.8980022880582","-43.2373821023225",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 3/Pré-Escola/Realfabetização 2,,N,FLAVIA BEATRIZ DA SILVA MIRANDA,2589-3478/3895-8641,33066353,FLAVIA MONTEIRO ESCORCIO
0107011,CARDEAL LEME,Rua Ébano,Benfica,205,,20930-060,3.9,4,"-22.8887294775152","-43.235365468315",N,N,3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/Classe Especial/Realfabetização 1/Realfabetização 2,,N,KARLA DE OLIVEIRA DA COSTA FRAZAO,3895-8642/3895-8643,33066221,ALDALEA FREIRE POMPEU GONCALVES
0107012,GONZAGA DA GAMA FILHO,Rua Gustavo Cordeiro De Farias,Benfica,578,,20910-220,4.6,3.8,"-22.8971927314562","-43.23736697437",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,,N,MONICA MUSSI DA SILVA SOBRAL,3895-8644,33066272,
0107013,ALICE DO AMARAL PEIXOTO,Rua Ébano,Benfica,187,,20930-060,,,"-22.8890887231893","-43.2358282860043",N,N,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,,N,MARCIA ROSSANA PAIXAO MACEDO,3895-8645,33066205,MARIA ELIZABETH DIAS COELHO
0107014,DOIS DE JULHO,Rua Ferreira Araújo,São Cristóvão,119,,20920-350,,,"-22.8910217236123","-43.2327004480945",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,ANA PAULA MENDES MILLER,3895-8647,33066230,ELZA BARBOZA ALEXANDRE
0107016,JOSUÉ DE SOUSA MONTELLO,,,,,,,,"","",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Aceleração 1/Pré-Escola/Realfabetização 1,1º Turno/2º Turno,N,CRISTIANE RODRIGUES GONCALVES HALICKI,,,
0107501,EDMUNDO BITTENCOURT,Rua Lopes Trovão,São Cristóvão,287,,20920-340,6.3,,"-22.8917212953133","-43.2335209353163",N,N,4º Ano/5º Ano/6º Ano,,N,ROSE BARRETO PEIXOTO,3895-8651,33066248,LINA LUCIA DE LIMA PEIXOTO
0107502,MESTRE WALDEMIRO,Av. Bartolomeu Gusmão,São Cristóvão,850,Fundos,20941-160,5,,"-22.9059578037195","-43.2287555210218",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola/Realfabetização 1,,N,GLAUCIA COUTO BERNARDO DA SILVA,2254-0815/2254-3144,33066329,IDALINA AVILA BRIOSO
0107601,ADALBERTO ISMAEL DE SOUZA,Av. Bartolomeu De Gusmão,São Cristóvão,1.100,,20941-160,,,"-22.9077825391184","-43.231100262602",N,N,Creche,Integral,N,ESTER RAQUEL NOGUEIRA BOMFIM PAUER,2264-5470,33094594,
0107602,DEPUTADO LUIZ EDUARDO DE MAGALHÃES,Rua São Luís Gonzaga,São Cristóvão - Tuiuti,1.486,,20910-062,,,"-22.897973226641","-43.2353248759872",N,N,Creche/PIC,Integral,N,ROSANA RAMOS SIQUARA,3895-9428,33129290,
0107603,VOVÓ LUCÍOLA,Rua Visconde De Niterói 1098 Travessa Olaria,Mangueira,,,20943-001,,,"-22.902226810866","-43.2404874831467",N,N,Creche,Integral,N,LUCIA LEPEDJIAN DE OLIVEIRA,2204-0418/2254-1304,33126577,
0107604,HOMERO JOSÉ DOS SANTOS,Rua Icaraí S/Nº,Mangueira,,,20941-020,,,"-22.9028172824263","-43.2361544683728",N,N,Creche/PIC,Integral,N,ALINE DA SILVA MACHADO,3895-8653/3895-8648,33144621,
0107605,EDUARDO MOREIRA DOS SANTOS,Rua Jupará,Mangueira - Morro dos Telégrafos,98,,20911-060,,,"-22.9021936871572","-43.2354833346789",N,N,Creche,Integral,N,WANIA RIBEIRO DO NASCIMENTO GORGONIO,3895-2939/3878-2019,33122415,
0107606,FRANCISCO ALVES,Rua  Carmela Dutra,Vasco da Gama,01,,20921-240,,,"-22.8892601233585","-43.229686556873",N,N,Creche,Integral,N,ANA LUCIA OLIVEIRA MALHEIROS SILVA,3895-8657/3895-8652,33094624,
0107607,NAÇÃO MANGUEIRENSE,Rua Visconde De Niterói 774 - Mangueira,Mangueira,774,,20943-001,,,"-22.9048681827014","-43.2391045696373",N,N,Creche,Integral,N,LENIR VIEIRA FIARES PEREIRA,2234-0161/3895-8650,33107645,
0107608,SAMORA MACHEL,Rua Leopoldo Bulhões,Benfica,700,,20911-300,,,"-22.8836770493449","-43.2482939230162",N,N,Creche,Integral,N,MABEL LOUREIRO MOORE,3895-8654,33126301,
0107609,VASQUINHO,Rua Santo Antonio,São Cristóvão,s/nº,,20921-180,,,"-22.8859463266345","-43.2270593103192",N,N,Creche,Integral,N,LUCIANE PRISCILA FERREIRA DE SOUZA,3895-8655,33158037,
0107610,ARARA AZUL,Rua Ademar Cerpa,Benfica,s/n.º,,,,,"-22.8887614534441","-43.2417365299889",N,N,Creche/PIC,Integral,N,IARACEMA SCHIAVO,3895-8656/3895-8646,33230013,
0107801,PROFESSORA DAYSE MALAGOLE,Ricardo Machado ao lado da E.M. João Camargo,Vasco da Gama,S/Nº,,20921-270,,,"-22.8902626548725","-43.2304535070159",N,N,Creche/PIC,Integral,N,CARLA FERREIRA DA SILVA,2233-2258,33164142,SIMONE HISSAE HAMADA
0107802,MORRO DOS TELÉGRAFOS,Rua Jupará,São Cristóvão,91,,20911-060,,,"-22.9035393","-43.2095869",N,N,Creche/Pré-Escola,,N,SIMONE BARCELLOS,3895-8649,33065985,
